Name,Model,Trim,Student,Military,First_Responder,Bonus,Loyalty,Conquest,Mobility
Volkswagen,2020 Volkswagen Golf GTI,SE 4dr Hatchback (2.0L 4cyl Turbo 7AM),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2020 Volkswagen Jetta,S ULEV 4dr Sedan (1.4L 4cyl Turbo 8A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2020 Volkswagen Golf,TSI 4dr Hatchback (1.4L 4cyl Turbo 8A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2020 Volkswagen Tiguan,SE 4dr SUV AWD (2.0L 4cyl Turbo 8A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2020 Volkswagen Atlas Cross Sport,SE w/Technology 4dr SUV AWD (3.6L 6cyl 8A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2020 Volkswagen Passat,R-Line 4dr Sedan (2.0L 4cyl Turbo 6A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2021 Volkswagen Passat,S 4dr Sedan (2.0L 4cyl Turbo 6A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2021 Volkswagen Golf,TSI 4dr Hatchback (1.4L 4cyl Turbo 6M),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2021 Volkswagen Jetta GLI,S 4dr Sedan (2.0L 4cyl Turbo 6M),,,,,,,
Volkswagen,2021 Volkswagen Arteon,SE 4dr Hatchback (2.0L 4cyl Turbo 8A),,,,,,,
Volkswagen,2021 Volkswagen Atlas Cross Sport,S 4dr SUV AWD (2.0L 4cyl Turbo 8A),,,,,,,
Volkswagen,2021 Volkswagen Jetta,S SULEV 4dr Sedan (1.4L 4cyl Turbo 8A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2021 Volkswagen Tiguan,SE R-Line Black 4dr SUV (2.0L 4cyl Turbo 8A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2021 Volkswagen Golf GTI,S 4dr Hatchback (2.0L 4cyl Turbo 6M),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volvo,2020 Volvo XC40,T5 Momentum 4dr SUV AWD (2.0L 4cyl Turbo 8A),,,,,,,
Volvo,2020 Volvo S90,T6 R-Design 4dr Sedan AWD (2.0L 4cyl Twincharger 8A),,,,,,,
Volvo,2020 Volvo XC60,T5 Momentum 4dr SUV AWD (2.0L 4cyl Turbo 8A),,,,,,,
Volvo,2020 Volvo V60,T5 Momentum 4dr Wagon (2.0L 4cyl Turbo 8A),,,,,,,
Volvo,2020 Volvo S60,T5 Momentum 4dr Sedan (2.0L 4cyl Turbo 8A),,,,,,,
Volvo,2020 Volvo V90 Cross Country,T6 4dr Wagon AWD (2.0L 4cyl Twincharger 8A),,,,,,,
Volvo,2020 Volvo XC90,T6 Momentum 4dr SUV AWD w/6 Passenger Seating (2.0L 4cyl Twincharger 8A),,,,,,,
Volvo,2020 Volvo V60 Cross Country,T5 4dr Wagon AWD (2.0L 4cyl Turbo 8A),,,,,,,
Volvo,2021 Volvo V60,T8 Polestar Engineered 4dr Wagon AWD (2.0L 4cyl Twincharger gas/electric hybrid 8A),,,,,$500 Loyalty for Lease - Expires 03/31/2021,,
Volkswagen,2021 Volkswagen Atlas,SEL Premium 4dr SUV AWD (3.6L 6cyl 8A),,,,,,,
Volvo,2021 Volvo XC40 Recharge,Pure Electric P8 4dr SUV AWD (electric DD),,,,,$500 Loyalty for Lease - Expires 03/31/2021,,
Volvo,2021 Volvo S90,T6 Inscription 4dr Sedan AWD (2.0L 4cyl Twincharger 8A),,,,,$500 Loyalty for Lease - Expires 03/31/2021,,
Volvo,2021 Volvo V90,T6 Inscription 4dr Wagon AWD (2.0L 4cyl Twincharger 8A),,,,,,,
Volvo,2021 Volvo XC60,T5 Momentum 4dr SUV AWD (2.0L 4cyl Turbo 8A),,,,,"$1,000 Loyalty for Retail or Lease - Expires 03/31/2021",,
Volvo,2021 Volvo XC90,T6 Momentum 4dr SUV AWD (2.0L 4cyl Twincharger 8A),,,,,$500 Loyalty for Lease - Expires 03/31/2021,,
Volvo,2021 Volvo V90 Cross Country,T6 4dr Wagon AWD (2.0L 4cyl Twincharger 8A),,,,,$500 Loyalty for Lease - Expires 03/31/2021,,
Volvo,2021 Volvo V60 Cross Country,T5 4dr Wagon AWD (2.0L 4cyl Turbo 8A),,,,,$500 Loyalty for Lease - Expires 03/31/2021,,
Volvo,2021 Volvo S60,T5 Momentum 4dr Sedan w/Prod. End 11/20 (2.0L 4cyl Turbo 8A),,,,,"$1,000 Loyalty for Lease - Expires 03/31/2021",,
Volvo,2021 Volvo XC40,T5 R-Design 4dr SUV AWD (2.0L 4cyl Turbo 8A),,,,,$500 Loyalty for Lease - Expires 03/31/2021,,
